title,Series Title,Runtime,Genre,Rating,Cast,Synopsis
The Flash,(2014–2023),43 min,"Action, Adventure, Drama",7.6,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City."
Ozark,(2017–2022),60 min,"Crime, Drama, Thriller",8.5,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
The Chosen,(2017– ),54 min,"Drama, History",9.3,"Shahar Isaac, Jonathan Roumie, Paras Patel, Nick Shakoour",A charismatic fisherman struggling with debt. A troubled woman wrestling with demons. A gifted accountant ostracised from his family and people. In this ground-breaking first season of The Chosen see how Jesus reaches each of these and more as He works His first miracles and embarks on His ministry to change the world. See Him through the eyes of those who knew Him.
Strike,(2017– ),60 min,"Crime, Drama, Mystery",7.9,"Tom Burke, Holliday Grainger, Kerr Logan, Jack Greenlees",War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted partner Robin Ellacott.
Only Murders in the Building,(2021– ),30 min,"Comedy, Crime, Drama",8.1,"Steve Martin, Martin Short, Selena Gomez, Amy Ryan",Three strangers bonded by their love of true crime podcasts record their own to accompany their investigations of murders in their building on the Upper West Side of New York.
Yellowjackets,(2021– ),60 min,"Drama, Horror, Mystery",7.9,"Melanie Lynskey, Tawny Cypress, Ella Purnell, Sophie Nélisse",A wildly talented high school girl soccer team becomes the (un)lucky survivors of a plane crash deep in the Canadian wilderness.
The Sandman,(2022– ),45 min,"Drama, Fantasy, Horror",7.7,"Tom Sturridge, Boyd Holbrook, Patton Oswalt, Vivienne Acheampong","Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
Lucifer,(2016–2021),42 min,"Crime, Drama, Fantasy",8.1,"Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.
Atlanta,(2016–2022),30 min,"Comedy, Drama, Music",8.6,"Donald Glover, Brian Tyree Henry, LaKeith Stanfield, Zazie Beetz","Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood."
Our Flag Means Death,(2022– ),30 min,"Action, Adventure, Biography",7.8,"Rhys Darby, Joel Fry, Samson Kayo, Nathan Foad",The year is 1717. Wealthy landowner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.
Law & Order,(1990– ),45 min,"Crime, Drama, Mystery",7.8,"Jerry Orbach, Jesse L. Martin, Dennis Farina, S. Epatha Merkerson",A crime is tracked from two separate vantage points: the police investigation and the prosecution in court.
Gilmore Girls,(2000–2007),44 min,"Comedy, Drama",8.2,"Lauren Graham, Alexis Bledel, Keiko Agena, Scott Patterson","A dramedy centering around the relationship between a thirtysomething single mother and her teen daughter living in Stars Hollow, Connecticut."
Gossip Girl,(2021– ),60 min,"Drama, Romance",5.4,"Jordan Alexander, Whitney Peak, Tavi Gevinson, Eli Brown",Revival of the TV series centering on a new generation of New York private school teens using social media to spread gossip.
Lost,(2004–2010),44 min,"Adventure, Drama, Fantasy",8.3,"Jorge Garcia, Josh Holloway, Naveen Andrews, Matthew Fox",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.
One Tree Hill,(2003–2012),60 min,"Drama, Romance, Sport",7.8,"Chad Michael Murray, James Lafferty, Hilarie Burton, Bethany Joy Lenz","Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina."
The Simpsons,(1989– ),22 min,"Animation, Comedy",8.7,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner",The satiric adventures of a working-class family in the misfit city of Springfield.
The Sinner,(2017–2021),45 min,"Crime, Drama, Mystery",7.9,"Bill Pullman, Jessica Hecht, Dohn Norwood, Adam LeFevre",Anthology series that examines how and why ordinary people commit brutal crimes.
Columbo,(1971–2003),100 min,"Crime, Drama, Mystery",8.3,"Peter Falk, Mike Lally, John Finnegan, Bruce Kirby",Los Angeles homicide detective Lieutenant Columbo uses his humble ways and ingenuous demeanor to winkle out even the most well-concealed of crimes.
