title,Series Title,Runtime,Genre,Rating,Cast,Synopsis
Bloodline,(2015–2017),60 min,"Drama, Thriller",7.9,"Kyle Chandler, Ben Mendelsohn, Linda Cardellini, Sissy Spacek",A family is forced to face their past secrets and scars when the black sheep returns home.
Boston Legal,(2004–2008),44 min,"Comedy, Crime, Drama",8.5,"James Spader, William Shatner, Candice Bergen, Rene Auberjonois","Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt."
Fate: The Winx Saga,(2021–2022),****,"Action, Adventure, Drama",6.8,"Abigail Cowen, Hannah van der Westhuysen, Precious Mustapha, Eliot Salt","A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers."
Supergirl,(2015–2021),43 min,"Action, Adventure, Drama",6.2,"Melissa Benoist, Chyler Leigh, David Harewood, Katie McGrath",The adventures of Superman's cousin and her own superhero career.
Death Note: Desu nôto,(2006–2007),23 min,"Animation, Crime, Drama",9,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Only Fools and Horses....,(1981–2003),95 min,Comedy,9,"David Jason, Nicholas Lyndhurst, Roger Lloyd Pack, Buster Merryfield",Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.
Industry,(2020– ),50 min,Drama,7.1,"Myha'la Herrold, Marisa Abela, Harry Lawtey, Ken Leung",Young bankers and traders make their way in the financial world in the aftermath of the 2008 collapse.
The OA,(2016–2019),60 min,"Drama, Fantasy, Mystery",7.8,"Brit Marling, Jason Isaacs, Scott Wilson, Alice Krige","Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous."
Truth Be Told,(2019– ),45 min,"Crime, Drama, Mystery",7.1,"Octavia Spencer, Ron Cephas Jones, Rico E. Anderson, Mekhi Phifer",A true-crime podcaster tries to solve the mystery surrounding a family patriarch's death.
Let the Right One In,(2022– ),53 min,"Drama, Horror",7.5,"Demián Bichir, Anika Noni Rose, Grace Gummer, Madison Taylor Baez","Follows a 12-year-old girl who lives a closed-in life after turning into a vampire, only able to go out at night. Her father does his best to provide her with the minimal amount of human blood she needs to stay alive."
Workin' Moms,(2017–2023),30 min,"Comedy, Drama",7.8,"Catherine Reitman, Dani Kind, Philip Sternberg, Ryan Belleville","Four very different thirtysomething working-mother friends try to balance their jobs, family lives, and love lives in modern-day Toronto, Canada."
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),20 min,"Animation, Action, Adventure",7.6,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city."
Search Party,(2016–2022),24 min,"Comedy, Crime, Drama",7.7,"Alia Shawkat, John Reynolds, John Early, Meredith Hagner",Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.
Pachinko,(2022– ),55 min,Drama,8.4,"Lee Min-Ho, Soji Arai, Jin Ha, Minha Kim","Based on the New York Times bestseller, this sweeping saga chronicles the hopes and dreams of a Korean immigrant family across four generations as they leave their homeland in an indomitable quest to survive and thrive."
Bosch: Legacy,(2022– ),50 min,"Crime, Drama",8.5,"Anthony Gonzales, Titus Welliver, Mimi Rogers, Madison Lintz","Bosch embarks on the next chapter of his career and finds himself working with his one-time enemy, Honey Chandler."
Naruto,(2002–2007),24 min,"Animation, Action, Adventure",8.4,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura","Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
Watchmen,-2019,527 min,"Crime, Drama, Mystery",8.2,"Regina King, Yahya Abdul-Mateen II, Tom Mison, Sara Vickers","Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own."
The Fresh Prince of Bel-Air,(1990–1996),22 min,Comedy,7.9,"Will Smith, James Avery, Alfonso Ribeiro, Tatyana Ali","A streetwise, poor young man from Philadelphia is sent by his mother to live with his aunt, uncle and cousins in their Bel-Air mansion."
Ray Donovan,(2013–2020),60 min,"Crime, Drama",8.3,"Liev Schreiber, Eddie Marsan, Dash Mihok, Pooch Hall","Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
CSI: Miami,(2002–2012),43 min,"Action, Crime, Drama",6.4,"David Caruso, Emily Procter, Adam Rodriguez, Rex Linn",Follows the cases of the Miami-Dade Police Department's Crime Scene Investigation unit as they try to unveil the conditions behind mysterious deaths and crimes.
Quantum Leap,(1989–1993),60 min,"Action, Adventure, Drama",8.2,"Scott Bakula, Dean Stockwell, Deborah Pratt, Dennis Wolfberg","During a government experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the bodies of different people on a regular basis and sorting out their problems whilst trying to get back home to his own time."
Raised by Wolves,(2020–2022),****,"Drama, Fantasy, Sci-Fi",7.5,"Travis Fimmel, Amanda Collin, Abubakar Salim, Winta McGrath",Androids are tasked with raising human children on a mysterious planet.
30 Rock,(2006–2013),22 min,Comedy,8.3,"Tina Fey, Alec Baldwin, Tracy Morgan, Jack McBrayer","Liz Lemon, head writer of the sketch-comedy show ""TGS with Tracy Jordan"", must deal with an arrogant new boss and a crazy new star while trying to run a successful television show without losing her mind."
Travelers,(2016–2018),45 min,"Drama, Mystery, Sci-Fi",8,"Eric McCormack, MacKenzie Porter, Nesta Cooper, Jared Abrahamson","Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity."
The Outsider,-2020,60 min,"Crime, Drama, Fantasy",7.7,"Ben Mendelsohn, Bill Camp, Jeremy Bobb, Mare Winningham",Investigators are confounded over an unspeakable crime that has been committed.
Pretty Hard Cases,(2021– ),****,"Comedy, Crime, Drama",6.7,"Meredith MacNeill, Adrienne C. Moore, Al Mukadam, Daren A. Herbert","""Pretty Hard Cases"" follows Guns and Gangs detective Sam and Drug Squad detective Kelly. By day, they are heroes in their particular way: skilled, tough, determined, and entertaining, fighting to do good in a broken system."
Inside No. 9,(2014– ),30 min,"Comedy, Crime, Drama",8.5,"Reece Shearsmith, Steve Pemberton, Derek Jacobi, Aimee-Ffion Edwards","Genre-mixing anthology series, inviting viewers into some very different and enigmatic No. 9s."
Jujutsu Kaisen,(2020– ),24 min,"Animation, Action, Adventure",8.6,"Junya Enoki, Adam McArthur, Yûichi Nakamura, Yuma Uchida",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.
Legends of Tomorrow,(2016–2022),42 min,"Action, Adventure, Drama",6.8,"Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano","Time-traveling rogue Rip Hunter must recruit a ragtag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
Power,(I) (2014–2020),50 min,"Crime, Drama",8.1,"Omari Hardwick, Lela Loren, Naturi Naughton, Joseph Sikora","James ""Ghost"" St. Patrick, a wealthy New York nightclub owner who has it all, catering to the city's elite and dreaming big, lives a double life as a drug kingpin."
Blue Lock,(2022– ),22 min,"Animation, Action, Sport",8.4,"Ricco Fajardo, Drew Breedlove, Alex Hom, Aaron Dismuke",High school soccer players from across Japan gather for a controversial project designed to create the best and most egoistic striker in the world.
Angel,(1999–2004),44 min,"Action, Drama, Fantasy",7.9,"David Boreanaz, Charisma Carpenter, Alexis Denisof, J. August Richards","The vampire Angel, cursed with a soul, moves to Los Angeles and aids people with supernatural-related problems while questing for his own redemption."
Trailer Park Boys,(2001–2018),30 min,"Comedy, Crime",8.6,"John Paul Tremblay, Robb Wells, Mike Smith, John Dunsworth",Three petty felons have a documentary made about their life in a trailer park.
The End of the F***ing World,(2017–2019),25 min,"Adventure, Comedy, Crime",8.1,"Jessica Barden, Alex Lawther, Steve Oram, Christine Bottomley","James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
The Andy Griffith Show,(1960–1968),30 min,"Comedy, Family",8.4,"Andy Griffith, Ron Howard, Don Knotts, Frances Bavier","Widower Sheriff Andy Taylor, and his son Opie, live with Andy's Aunt Bee in Mayberry, North Carolina. With virtually no crimes to solve, most of Andy's time is spent philosophizing and calming down his cousin Deputy Barney Fife."
Leverage,(2008–2012),42 min,"Crime, Mystery, Thriller",7.9,"Timothy Hutton, Gina Bellman, Christian Kane, Beth Riesgraf",A crew of high-tech crooks attempt to steal from wealthy criminals and corrupt businessmen.
The IT Crowd,(2006–2013),25 min,Comedy,8.5,"Chris O'Dowd, Richard Ayoade, Katherine Parkinson, Matt Berry","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie."
King of the Hill,(1997–2010),30 min,"Animation, Comedy, Drama",7.5,"Mike Judge, Kathy Najimy, Pamela Adlon, Johnny Hardwick","A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line."
Adventure Time,(2010–2018),11 min,"Animation, Action, Adventure",8.6,"John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch","A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future."
Magnum P.I.,(2018–2023),43 min,"Action, Adventure, Crime",6.1,"Jay Hernandez, Perdita Weeks, Zachary Knighton, Stephen Hill",An ex-Navy SEAL returns from Afghanistan and uses his military skills to become a private investigator in Hawaii.
The Shield,(2002–2008),47 min,"Crime, Drama, Thriller",8.7,"Michael Chiklis, Jay Karnes, Michael Jace, CCH Pounder",Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.
Lupin,(2021– ),45 min,"Action, Crime, Drama",7.5,"Omar Sy, Ludivine Sagnier, Hervé Pierre, Soufiane Guerrab","Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
The Owl House,(2020–2023),22 min,"Animation, Action, Adventure",8.4,"Sarah-Nicole Robles, Alex Hirsch, Wendie Malick, Tati Gabrielle","Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch, with the rebellious Eda and pint-sized demon King at her aid."
Grantchester,(2014–2023),45 min,"Crime, Drama, Mystery",7.9,"Robson Green, Tessa Peake-Jones, Al Weaver, Kacey Ainsworth",A Cambridgeshire clergyman finds himself investigating a series of mysterious wrongdoings in his small village of Grantchester.
Drop Dead Diva,(2009–2014),60 min,"Comedy, Drama",7.5,"Brooke Elliott, Margaret Cho, Kate Levering, April Bowlby","A vapid aspiring model killed in a car crash gets brought back to life as an intelligent, overweight lawyer, hoping to find the meaning of inner beauty."
Anne,(2017–2019),60 min,"Drama, Family",8.7,"Amybeth McNulty, Geraldine James, R.H. Thomson, Dalila Bela","The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels."
War of the Worlds,(2019– ),49 min,"Drama, Mystery, Sci-Fi",6.4,"Léa Drucker, Gabriel Byrne, Bayo Gbadamosi, Ty Tennant","Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike."
South Side,(2019– ),22 min,Comedy,8.2,"Sultan Salahuddin, Kareme Young, Chandra Russell, Bashir Salahuddin",A pair of recent community college graduates look to become entrepreneurs in Chicago's South Side.
Bump,(2021– ),30 min,Drama,7.6,"Nathalie Morris, Claudia Karvan, Carlos Sanson Jr., Angus Sampson","An unexpected pregnancy complicates the lives of two families. The series centers around Oly, an ambitious and high-achieving teenage girl who has a surprise baby."
Californication,(2007–2014),28 min,"Comedy, Drama",8.3,"David Duchovny, Natascha McElhone, Evan Handler, Pamela Adlon","A writer tries to juggle his career, his relationship with his daughter and his ex-girlfriend, as well as his appetite for beautiful women."
Queen of the South,(2016–2021),42 min,"Action, Crime, Drama",8,"Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón",Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.
All American,(2018– ),45 min,"Drama, Sport",7.6,"Daniel Ezra, Samantha Logan, Michael Evans Behling, Greta Onieogou","When a star high school football player from South Central is recruited to play for Beverly Hills High School, two separate worlds collide."
Gannibal,(2022– ),82 min,"Horror, Sci-Fi, Thriller",6.8,"Yûya Yagira, Shô Kasamatsu, Riho Yoshioka, Mitsuo Yoshihara",There is a rumor about this beautiful village: people get eaten here. Police officer Agawa Daigo uncovers a horrifying truth lurking in everyday life.
The Ranch,(2016–2020),30 min,"Comedy, Drama, Western",7.5,"Ashton Kutcher, Sam Elliott, Grady Lee Richmond, Elisha Cuthbert",The son of a Colorado rancher returns home from a semi-pro football career to run the family business.
Jaebeoljib Maknaeadeul,(2022– ),71 min,"Drama, Fantasy, Romance",8.2,"Song Joong-ki, Lee Sung-min, Jo Han-chul, Yeong-jae Kim","After ten years, a loyal employee is framed for embezzlement, then murdered by his employers, only to be reborn as their youngest son, with a yearn for revenge guiding his hostile takeover."
Colin from Accounts,(2022– ),27 min,Comedy,8.4,"Patrick Brammall, Harriet Dyer, Zak, Emma Harvie","Ashley and Gordon, two single-ish, complex humans who are brought together by a car accident and an injured dog. Flawed, funny people choosing each other and being brave enough to show their true selves and navigate life together."
Limitless,(2022– ),50 min,"Documentary, Adventure",8.1,"Chris Hemsworth, Peter Attia, Elsa Pataky, Luke Zocchi","A different way we can live better for longer: regenerating damage, maximizing strength, building resilience, shocking the body, supercharging memory and confronting mortality."
The Idol,,****,Drama,****,"Lily-Rose Depp, The Weeknd, Suzanna Son, Troye Sivan",A self-help guru and leader of a modern-day cult enters a complicated relationship with a rising pop idol.
The Magicians,(2015–2020),60 min,"Drama, Fantasy, Mystery",7.6,"Stella Maeve, Hale Appleman, Arjun Gupta, Summer Bishil","After being recruited to a secretive academy, a group of students discover that the magic they read about as children is very real-and more dangerous than they ever imagined."
Star Wars: Rebels,(2014–2018),22 min,"Animation, Action, Adventure",8,"Dave Filoni, Taylor Gray, Freddie Prinze Jr., Vanessa Marshall",A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.
Without a Trace,(2002–2009),60 min,"Crime, Drama, Mystery",7,"Anthony LaPaglia, Poppy Montgomery, Enrique Murciano, Eric Close",Series about the special FBI Missing Persons Squad that finds missing people by applying advanced psychological profiling to reveal the victims lives.
Shooter,(2016–2018),60 min,"Action, Drama",7.5,"Ryan Phillippe, Shantel VanSanten, Cynthia Addai-Robinson, Omar Epps","A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coerced back into action to prevent a plot to kill the President."
Twin Peaks,-2017,60 min,"Crime, Drama, Horror",8.5,"Kyle MacLachlan, Sheryl Lee, Michael Horse, Chrysta Bell",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
Providence,(1999–2002),60 min,"Drama, Romance",6.7,"Melina Kanakaredes, Mike Farrell, Paula Cale, Seth Peterson","Successful Hollywood plastic surgeon Sydney Hansen returns home to Providence, Rhode Island to try to keep her dysfunctional family together with the help of her mother's friendly ghost. She also finds work with the local free clinic."
Bates Motel,(2013–2017),45 min,"Drama, Horror, Mystery",8.1,"Vera Farmiga, Freddie Highmore, Max Thieriot, Nicola Peltz Beckham","A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
Night Sky,-2022,55 min,"Adventure, Drama, Fantasy",7.4,"Sissy Spacek, J.K. Simmons, Chai Hansen, Kiah McKirnan","Follows Franklin and Irene York, a couple who years ago discovered a chamber buried in their backyard which inexplicably leads to a strange, deserted planet."
Gravity Falls,(2012–2016),23 min,"Animation, Action, Adventure",8.9,"Jason Ritter, Alex Hirsch, Kristen Schaal, Linda Cardellini","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
A League of Their Own,(2022– ),60 min,"Comedy, Drama, Sport",7.5,"Abbi Jacobson, Chanté Adams, D'Arcy Carden, Gbemisola Ikumelo",Comedy series about the WWII All-American professional women's baseball league.
A Million Little Things,(2018–2023),43 min,"Comedy, Drama, Romance",7.9,"David Giuntoli, Romany Malco, Allison Miller, Christina Moses",A group of friends becomes motivated to live fuller lives after the unexpected death of a close friend.
Enterprise,(2001–2005),60 min,"Action, Adventure, Drama",7.5,"Scott Bakula, John Billingsley, Jolene Blalock, Dominic Keating","A century before Captain Kirk's five-year mission, Jonathan Archer captains the United Earth ship Enterprise during the early years of Starfleet, leading up to the Earth-Romulan War and the formation of the Federation."
Upload,(2020– ),30 min,"Comedy, Mystery, Sci-Fi",7.9,"Robbie Amell, Andy Allo, Allegra Edwards, Zainab Johnson","A man is able to choose his own afterlife after his untimely death, by having his consciousness uploaded into a virtual world. As he gets used to his new life and befriends his angel (real world handler), questions about his death arise."
The Last Ship,(2014–2018),60 min,"Action, Drama, Sci-Fi",7.4,"Eric Dane, Adam Baldwin, Charles Parnell, Travis Van Winkle",The crew of a naval destroyer is forced to confront the reality of a new existence when a pandemic kills off most of the earth's population.
Unforgotten,(2015– ),45 min,"Crime, Drama, Mystery",8.3,"Sanjeev Bhaskar, Jordan Long, Nicola Walker, Lewis Reeves","London detectives investigate crimes from the past, unravelling secrets left buried for years."
Fauda,(2015– ),60 min,"Action, Drama, Thriller",8.2,"Lior Raz, Itzik Cohen, Neta Garty, Rona-Lee Shimon",The human stories on both sides of the Israel-Palestine conflict.
The Serpent Queen,-2022,52 min,Drama,7.7,"Samantha Morton, Amrita Acharia, Enzo Cilenti, Sennia Nanua","Eight-part series based on Leonie Frieda's book ""Catherine de Medici: Renaissance Queen of France."""
Grace and Frankie,(2015–2022),30 min,Comedy,8.2,"Jane Fonda, Lily Tomlin, Sam Waterston, Martin Sheen","Finding out that their husbands are not just work partners, but have also been romantically involved for the last twenty years, two women with an already strained relationship try to cope with the circumstances together."
Burn Notice,(2007–2013),44 min,"Action, Crime, Drama",8,"Jeffrey Donovan, Gabrielle Anwar, Bruce Campbell, Sharon Gless",A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
Bron/Broen,(2011–2018),60 min,"Crime, Mystery, Thriller",8.6,"Sofia Helin, Rafael Pettersson, Sarah Boberg, Dag Malmberg","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
A Series of Unfortunate Events,(2017–2019),50 min,"Adventure, Comedy, Drama",7.8,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes","After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
Mr Inbetween,(2018–2021),30 min,"Crime, Drama",8.6,"Scott Ryan, Chika Yasumura, Justin Rosniak, Damon Herriman","Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
Welcome to Wrexham,(2022– ),28 min,"Documentary, Sport",8.3,"Ryan Reynolds, Rob McElhenney, Phil Parkinson, Humphrey Ker","Docuseries chronicling the purchase and stewardship of Wrexham AFC, one of professional football's oldest clubs, by two Hollywood actors, Ryan Reynolds and Rob McElhenney."
American Crime Story,(2016– ),42 min,"Biography, Crime, Drama",8.4,"Sarah Paulson, Annaleigh Ashford, Sterling K. Brown, Kenneth Choi",An anthology series centered around America's most notorious crimes and criminals.
Heartbeat,(1992–2010),50 min,"Drama, Comedy, Crime",6.8,"William Simons, Derek Fowlds, Tricia Penrose, Mark Jordon","The 1960s lives and adventures of the police constabulary, medical staff, and residents of Ashfordly and Aidensfield."
Blindspot,(2015–2020),42 min,"Action, Crime, Drama",7.3,"Sullivan Stapleton, Jaimie Alexander, Audrey Esparza, Ashley Johnson",Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.
Sweet Home,(2020– ),52 min,"Drama, Fantasy, Horror",7.3,"Song Kang, Lee Jin-Wook, Lee Si-young, Lee Do-Hyun","Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late."
Hagane no renkinjutsushi,(2009–2010),24 min,"Animation, Action, Adventure",9.1,"Kent Williams, Iemasa Kayumi, Matthew Leonhart, Vic Mignogna",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
Russian Doll,(2019– ),30 min,"Comedy, Drama, Mystery",7.8,"Natasha Lyonne, Charlie Barnett, Greta Lee, Elizabeth Ashley",A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
Goliath,(2016–2021),60 min,Drama,8.1,"Billy Bob Thornton, Nina Arianda, Tania Raymonde, Diana Hopper","A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him."
The Calling,(2022– ),46 min,"Crime, Drama",7.1,"Jeff Wilbusch, Juliana Canfield, Karen Robinson, Michael Mosley","Guided by a deep sense of spirituality and religious principles, NYPD Detective Avraham Avraham is left to question his own humanity when a routine investigation turns upside down."
Weeds,(2005–2012),28 min,"Comedy, Crime, Drama",7.9,"Mary-Louise Parker, Hunter Parrish, Alexander Gould, Kevin Nealon","When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is."
iCarly,(2007–2012),30 min,"Comedy, Family, Romance",6.7,"Miranda Cosgrove, Jerry Trainor, Jennette McCurdy, Nathan Kress","Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving."
Blockbuster,-2022,30 min,Comedy,5.1,"Randall Park, Melissa Fumero, Olga Merediz, Tyler Alvarez","This comedy set in the last Blockbuster Video in America explores what, and who, makes a small business succeed."
Howards' Way,(1985–1990),50 min,Drama,6.7,"Jan Harvey, Stephen Yardley, Glyn Owen, Susan Gilmore","Tom Howard is made redundant from his job as a senior aircraft designer and decides to invest his skill, time and redundancy money in a run-down local boat-building yard. Without his ...                See full summary »"
Miracle Workers,(2019– ),22 min,"Comedy, Drama, Fantasy",7.1,"Daniel Radcliffe, Geraldine Viswanathan, Karan Soni, Jon Bass","A comedy set in the offices of Heaven Inc. When God plans to destroy the Earth, two low-level angels must convince their boss to save humanity. They bet him they can pull off their most impossible miracle yet: help two humans fall in love."
Harley Quinn,(2019– ),23 min,"Animation, Action, Adventure",8.5,"Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches","The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
NCIS: New Orleans,(2014–2021),42 min,"Action, Crime, Drama",6.8,"Scott Bakula, Rob Kerkovich, CCH Pounder, Daryl Mitchell","Follows an NCIS team that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment, and decadence."
Percy Jackson and the Olympians,(2023– ),60 min,"Action, Adventure, Family",****,"Walker Scobell, Jason Gray-Stanford, Leah Jeffries, Aryan Simhadri",Demigod Percy Jackson leads a quest across America to prevent a war among the Olympian gods.
Emergency!,(1972–1979),60 min,"Action, Adventure, Comedy",7.8,"Randolph Mantooth, Kevin Tighe, Julie London, Bobby Troup","The crew of Los Angeles County Fire Department Station 51, particularly the paramedic team, and Rampart Hospital respond to emergencies in their operating area."
Batman: The Animated Series,(1992–1995),23 min,"Animation, Action, Adventure",9,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
Black Clover,(2017–2021),24 min,"Animation, Action, Adventure",8.3,"Dallas Reid, Jill Harris, Cris George, Christopher Sabat","Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus."
Madam Secretary,(2014–2019),45 min,"Drama, Thriller",7.7,"Téa Leoni, Tim Daly, Erich Bergen, Zeljko Ivanek",A political drama which looks into the life of the Secretary of State as she tries to balance work with family.
iZombie,(2015–2019),42 min,"Comedy, Crime, Drama",7.8,"Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley","A medical resident finds that being a zombie has its perks, which she uses to assist the police."
Sense8,(2015–2018),60 min,"Drama, Mystery, Sci-Fi",8.2,"Bae Doona, Jamie Clayton, Tina Desai, Tuppence Middleton","A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
Legion,(2017–2019),60 min,"Action, Drama, Sci-Fi",8.2,"Dan Stevens, Rachel Keller, Aubrey Plaza, Bill Irwin","David Haller is a troubled young man diagnosed as schizophrenic, but after a strange encounter he discovers special powers that will change his life forever."
The Girlfriend Experience,(2016– ),27 min,Drama,7,"Riley Keough, Paul Sparks, Julia Goldani Telles, Mary Lynn Rajskub","Explores the relationships between exclusive escorts and their clients, for whom they provide far more than just sex. Known as GFEs, they are women who provide emotional and sexual relationships at a very high price."
Kurulus: Osman,(2019– ),120 min,"Action, Adventure, Drama",7.5,"Burak Özçivit, Özge Törer, Yigit Ucan, Buse Arslan","The series will focus on the life of Osman Bey, the son of Ertugrul Gazi and the founder of the Ottoman Empire."
Law & Order: Criminal Intent,(2001–2011),60 min,"Crime, Drama, Mystery",7.5,"Kathryn Erbe, Vincent D'Onofrio, Jamey Sheridan, Courtney B. Vance","This series focuses on the NYPD's Major Case Squad, a force of detectives who investigate high-profile cases, while also showing parts of the crime from the perpetrator's point of view."
Tales of the Jedi,(2022– ),15 min,"Animation, Short, Action",8.3,"Corey Burton, Ashley Eckstein, Dee Bradley Baker, Ian McDiarmid",It showcases animated shorts that feature Jedi from the prequel era.
Barbarians,(2020– ),280 min,"Action, Adventure, Drama",7.2,"Laurence Rupp, Jeanne Goursaud, David Schütter, Florian Schmidtke","Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
Shrinking,(2023– ),****,Comedy,****,"Ryan Caltagirone, Harrison Ford, Jessica Williams, Jason Segel","A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own."
Mr. Mercedes,(2017–2019),60 min,"Crime, Drama, Mystery",7.8,"Brendan Gleeson, Holland Taylor, Jharrel Jerome, Breeda Wool",Tells the story of a psychopathic killer who drives a stolen Mercedes into a crowd and a recently retired detective who tries to bring him down.
Stargate: Atlåntis,(2004–2009),44 min,"Action, Adventure, Drama",8.1,"Joe Flanigan, Rachel Luttrell, David Hewlett, Jason Momoa","An international team of scientists and military personnel discover a Stargate network in the Pegasus Galaxy and come face-to-face with a new, powerful enemy: The Wraith."
My Name Is Earl,(2005–2009),22 min,Comedy,7.8,"Jason Lee, Ethan Suplee, Jaime Pressly, Nadine Velazquez","A ne'er do well wins $100,000 in the lottery and decides to right all the wrongs from his past with his newfound realization."
The Circle,(2020– ),48 min,"Game-Show, Reality-TV",7.3,"Michelle Buteau, Shubham Goel, Chloe Veitch, Nick Uhlenhuth","Players start off isolated in an apartment, and with their online interactions as their only means of any communication. The players use a social media platform called ""The Circle""."
